t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780605677.217,150.0,10,97.0,0.00
1780605677.396,167.9,74,78.4,250.38
1780605677.496,174.3,74,0.0,0.43
1780605677.597,174.3,74,0.0,0.43
1780605677.697,174.3,74,0.0,0.43
1780605677.797,174.3,74,0.0,0.43
1780605677.898,174.3,74,10.0,0.43
1780605677.998,174.3,74,0.0,0.43
1780605678.098,174.6,74,10.0,0.43
1780605678.198,174.6,74,0.0,1.06
1780605678.298,174.6,74,0.0,1.06
1780605678.398,174.6,74,10.0,1.06
1780605678.499,174.6,74,0.0,1.06
1780605678.599,174.6,74,0.0,1.06
1780605678.699,174.6,74,10.0,1.06
1780605678.799,174.6,74,0.0,1.06
1780605678.899,174.6,74,0.0,1.06
1780605678.999,174.6,74,10.0,1.06
1780605679.100,174.6,74,0.0,1.06
1780605679.200,174.6,74,10.0,1.06
1780605679.300,174.6,74,0.0,1.06
1780605679.400,174.6,74,0.0,1.06
1780605679.500,174.6,74,0.0,1.06
1780605679.600,174.6,74,0.0,1.06
1780605679.701,174.6,74,19.9,1.06
1780605679.801,174.6,74,0.0,1.06
1780605679.901,174.6,74,0.0,1.06
1780605680.001,174.6,74,0.0,1.06
1780605680.101,174.6,74,10.0,1.06
1780605680.202,174.6,74,0.0,1.06
1780605680.302,174.6,74,10.0,1.83
1780605680.402,174.6,74,0.0,1.83
1780605680.502,174.6,74,0.0,1.83
1780605680.602,174.6,74,0.0,2.01
1780605680.702,174.6,74,0.0,2.01
1780605680.803,174.6,74,20.0,2.01
1780605680.903,174.6,74,10.0,2.01
1780605681.003,174.6,74,0.0,2.01
1780605681.103,174.6,74,0.0,2.01
1780605681.203,174.6,74,0.0,2.01
1780605681.304,174.6,74,0.0,2.01
1780605681.404,174.6,74,10.0,2.01
1780605681.504,174.6,74,0.0,2.01
1780605681.604,174.6,74,0.0,2.01
1780605681.705,174.6,74,0.0,2.01
1780605681.805,174.6,74,10.0,2.01
1780605681.905,174.6,74,10.0,2.01
1780605682.005,174.6,74,0.0,2.01
1780605682.105,174.6,74,0.0,2.01
1780605682.205,174.6,74,10.0,2.01
1780605682.306,174.6,74,0.0,2.01
1780605682.406,174.6,74,10.0,2.01
1780605682.506,174.6,74,0.0,2.01
1780605682.606,174.6,74,0.0,2.01
1780605682.706,174.6,74,10.0,2.01
1780605682.806,174.6,74,10.0,2.01
1780605682.906,174.6,74,0.0,2.01
1780605683.007,174.6,74,0.0,2.01
1780605683.107,174.6,74,0.0,2.01
1780605683.207,174.6,74,0.0,2.01
1780605683.307,174.6,74,10.0,2.01
1780605683.407,174.6,74,10.0,2.01
1780605683.507,174.6,74,0.0,2.01
1780605683.608,174.6,74,0.0,2.01
1780605683.708,174.6,74,10.0,2.01
1780605683.808,174.6,74,0.0,2.01
1780605683.908,174.6,74,10.0,1.83
1780605684.008,174.6,74,0.0,1.83
1780605684.108,174.6,74,10.0,1.83
1780605684.209,174.6,74,0.0,1.83
1780605684.309,174.6,74,0.0,2.01
1780605684.409,174.6,74,10.0,2.01
1780605684.509,174.6,74,0.0,2.01
1780605684.609,174.6,74,10.0,2.01
1780605684.709,174.6,74,0.0,2.01
1780605684.810,174.6,74,10.0,2.01
1780605684.910,174.6,74,0.0,2.01
1780605685.010,174.6,74,0.0,2.01
1780605685.110,174.6,74,0.0,2.01
1780605685.210,174.6,74,0.0,2.01
1780605685.310,174.6,74,10.0,2.01
1780605685.411,174.6,74,0.0,2.01
1780605685.511,174.6,74,0.0,2.01
1780605685.611,174.6,74,10.0,2.01
1780605685.711,174.6,74,10.0,2.01
1780605685.811,174.6,74,0.0,2.01
1780605685.911,174.6,74,0.0,2.01
1780605686.012,174.6,74,0.0,2.01
1780605686.112,174.6,74,10.0,2.01
1780605686.212,174.6,74,0.0,2.01
1780605686.314,174.6,74,9.8,2.01
1780605686.414,174.6,74,10.0,2.01
1780605686.515,174.6,74,0.0,2.01
1780605686.615,174.6,74,0.0,2.01
1780605686.715,174.6,74,0.0,2.01
1780605686.815,174.6,74,10.0,2.01
