t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780605847.165,147.4,10,102.9,0.00
1780605847.342,168.6,74,82.8,248.77
1780605847.442,173.5,74,9.9,0.46
1780605847.542,173.5,74,0.0,0.46
1780605847.642,173.5,74,0.0,0.46
1780605847.742,173.5,74,0.0,0.46
1780605847.842,173.5,74,0.0,0.46
1780605847.943,173.5,74,0.0,0.46
1780605848.043,173.5,74,0.0,0.46
1780605848.143,173.5,74,0.0,0.46
1780605848.243,173.5,74,0.0,0.46
1780605848.343,173.5,74,0.0,0.46
1780605848.443,173.5,74,0.0,0.46
1780605848.543,173.7,74,0.0,0.46
1780605848.643,173.7,74,0.0,0.46
1780605848.744,173.7,74,0.0,0.46
1780605848.844,173.7,74,20.0,0.63
1780605848.944,173.7,74,0.0,0.63
1780605849.044,173.7,74,0.0,0.63
1780605849.144,173.7,74,0.0,0.63
1780605849.244,173.7,74,0.0,0.63
1780605849.344,173.7,74,0.0,0.63
1780605849.444,173.7,74,0.0,0.63
1780605849.545,173.7,74,0.0,0.63
1780605849.645,173.7,74,0.0,0.63
1780605849.745,173.7,74,0.0,0.63
1780605849.845,173.7,74,0.0,0.63
1780605849.945,173.7,74,0.0,1.57
1780605850.045,173.7,74,0.0,1.57
1780605850.145,173.7,74,10.0,1.57
1780605850.246,173.7,74,0.0,1.57
1780605850.346,173.7,74,0.0,1.57
1780605850.446,173.7,74,0.0,1.57
1780605850.546,173.7,74,0.0,1.57
1780605850.646,173.7,74,0.0,1.57
1780605850.746,173.7,74,0.0,1.57
1780605850.846,173.7,74,0.0,1.57
1780605850.946,173.7,74,10.0,1.57
1780605851.047,173.7,74,0.0,1.57
1780605851.147,173.7,74,0.0,1.57
1780605851.247,173.7,74,0.0,1.57
1780605851.347,173.7,74,10.0,1.57
1780605851.447,173.7,74,0.0,1.57
1780605851.547,173.7,74,0.0,1.57
1780605851.647,173.7,74,0.0,1.57
1780605851.747,173.7,74,0.0,1.57
1780605851.848,173.7,74,0.0,1.57
1780605851.948,173.7,74,0.0,1.57
1780605852.048,173.7,74,0.0,1.57
1780605852.148,173.7,74,0.0,1.57
1780605852.248,173.7,74,0.0,1.57
1780605852.348,173.7,74,10.0,1.57
1780605852.448,173.7,74,0.0,1.57
1780605852.548,173.7,74,0.0,1.57
1780605852.649,173.7,74,0.0,1.57
1780605852.749,173.7,74,10.0,1.71
1780605852.849,173.7,74,0.0,1.71
1780605852.949,173.7,74,0.0,1.71
1780605853.049,173.7,74,0.0,1.71
1780605853.149,173.7,74,0.0,1.71
1780605853.249,173.7,74,0.0,1.71
1780605853.349,173.7,74,0.0,1.71
1780605853.450,173.7,74,10.0,1.71
1780605853.550,173.7,74,0.0,1.71
1780605853.650,173.7,74,0.0,1.71
1780605853.750,173.7,74,0.0,1.71
1780605853.850,173.7,74,10.0,1.71
1780605853.950,173.7,74,0.0,1.71
1780605854.050,173.7,74,0.0,1.71
1780605854.150,173.7,74,0.0,1.71
1780605854.251,173.7,74,0.0,1.71
1780605854.351,173.7,74,0.0,1.71
1780605854.451,173.7,74,10.0,1.71
1780605854.551,173.7,74,0.0,1.71
1780605854.651,173.7,74,0.0,1.71
1780605854.751,173.7,74,0.0,1.71
1780605854.851,173.7,74,10.0,1.71
1780605854.952,173.7,74,0.0,1.71
1780605855.052,173.7,74,0.0,1.71
1780605855.152,173.7,74,0.0,1.71
1780605855.252,173.7,74,0.0,1.71
1780605855.352,173.7,74,0.0,1.71
1780605855.452,173.7,74,0.0,1.71
1780605855.552,173.7,74,10.0,1.71
1780605855.652,173.7,74,0.0,1.71
1780605855.753,173.7,74,0.0,1.71
1780605855.853,173.7,74,0.0,1.71
1780605855.953,173.7,74,10.0,1.71
1780605856.053,173.7,74,0.0,1.71
1780605856.153,173.7,74,0.0,1.71
1780605856.253,173.7,74,0.0,1.71
1780605856.353,173.7,74,0.0,1.71
1780605856.454,173.7,74,0.0,1.71
1780605856.554,173.7,74,10.0,1.71
1780605856.654,173.7,74,0.0,1.71
1780605856.754,173.7,74,0.0,1.71
1780605856.854,173.7,74,0.0,1.71
1780605856.954,173.7,74,0.0,1.71
1780605857.054,173.7,74,10.0,1.71
1780605857.154,173.7,74,0.0,1.71
1780605857.255,173.7,74,0.0,1.71
1780605857.355,173.7,74,0.0,1.71
1780605857.455,173.7,74,0.0,1.71
1780605857.555,173.7,74,10.0,1.71
1780605857.655,173.7,74,0.0,1.84
1780605857.755,173.7,74,0.0,1.84
1780605857.855,173.7,74,0.0,1.84
1780605857.956,173.7,74,0.0,1.84
1780605858.056,173.7,74,0.0,1.84
1780605858.156,173.7,74,10.0,1.84
1780605858.256,173.7,74,0.0,1.84
1780605858.356,173.7,74,0.0,1.84
1780605858.456,173.7,74,0.0,1.84
1780605858.556,173.7,74,0.0,1.84
1780605858.657,173.7,74,10.0,1.84
1780605858.757,173.7,74,0.0,1.84
1780605858.857,173.7,74,0.0,1.84
1780605858.957,173.7,74,0.0,1.84
1780605859.057,173.7,74,0.0,1.84
1780605859.157,173.7,74,0.0,1.84
1780605859.258,173.7,74,10.0,1.84
1780605859.358,173.7,74,0.0,1.84
1780605859.458,173.7,74,0.0,1.84
1780605859.558,173.7,74,0.0,1.84
1780605859.658,173.7,74,0.0,1.87
1780605859.758,173.7,74,10.0,1.87
1780605859.858,173.7,74,0.0,1.87
1780605859.958,173.7,74,0.0,1.87
1780605860.059,173.7,74,0.0,1.87
1780605860.159,173.7,74,0.0,1.87
1780605860.259,173.7,74,10.0,1.84
1780605860.359,173.7,74,0.0,1.84
1780605860.459,173.7,74,10.0,1.84
1780605860.559,173.7,74,0.0,1.84
