t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780611535.586,1445,5050,0,6528,1.72
1780611536.587,8817,5024,0,14016,1.72
1780611537.587,18397,5004,0,23616,1.72
1780611538.587,28427,4987,0,33600,1.72
1780611539.588,34221,4957,0,39360,1.74
1780611540.588,34221,4957,0,39360,1.74
1780611541.588,34221,4930,0,39360,1.74
1780611542.588,34221,4931,0,39360,1.74
1780611543.588,34221,4931,0,39360,1.74
1780611544.588,34221,4931,0,39360,1.76
1780611545.588,34221,4883,0,39360,1.76
1780611546.589,34221,4883,0,39360,1.76
1780611547.589,34221,569,0,39360,1.76
1780611548.589,34223,569,0,39360,1.76
1780611549.589,34237,480,0,39360,1.70
1780611550.589,34237,481,0,40320,1.70
1780611551.589,34237,481,0,44160,1.70
1780611552.589,34237,481,0,48000,1.70
1780611553.589,34237,481,0,49920,1.70
1780611554.589,34237,482,0,49920,1.65
1780611555.590,34237,421,0,52032,1.65
1780611556.590,34305,422,0,55680,1.65
1780611557.590,57077,421,0,61824,1.65
1780611558.590,59126,421,0,61824,1.65
1780611559.590,59127,421,0,61824,1.59
1780611560.590,59128,421,0,61824,1.59
1780611561.590,59135,421,0,61824,1.59
1780611562.590,60235,421,0,62592,1.59
1780611563.590,60411,421,0,63744,1.59
1780611564.591,61818,421,0,64896,1.71
1780611565.591,61821,421,0,69312,1.71
1780611566.591,70633,421,0,72384,1.71
1780611567.591,73053,444,0,76416,1.71
1780611568.591,64554,6890,2,65664,1.71
1780611569.591,63198,8448,56,64512,1.73
1780611570.591,62347,9114,2,64704,1.73
1780611571.591,62002,9526,52,63552,1.73
1780611572.591,61108,10420,0,63744,1.73
1780611573.592,61104,10424,0,64128,1.73
1780611574.592,60570,11715,175,63552,1.67
1780611575.592,59966,12834,50,63552,1.67
1780611576.592,56508,13781,46,62016,1.67
1780611577.592,56066,14787,49,61056,1.67
1780611578.592,56109,15304,0,60672,1.67
1780611579.592,56564,15410,27,60480,1.62
1780611580.592,53833,16380,42,57984,1.62
1780611581.593,54352,16423,0,57984,1.62
1780611582.593,52064,16402,0,55680,1.62
1780611583.593,52634,16400,0,55680,1.62
1780611584.593,52935,16363,0,55680,1.57
1780611585.593,53727,16173,0,56256,1.57
1780611586.593,53727,16144,0,56256,1.57
1780611587.593,53876,16107,0,56448,1.57
1780611588.593,53813,15733,0,56448,1.57
1780611589.593,53817,15733,0,56448,1.60
1780611590.594,53649,15879,0,56064,1.60
1780611591.594,53503,15872,2,56064,1.60
1780611592.594,53416,15863,1,56064,1.60
1780611593.594,53243,16009,0,56064,1.60
1780611594.594,52467,16094,0,55296,1.55
1780611595.594,52444,16094,1,55296,1.55
1780611596.594,52708,15977,0,55104,1.55
1780611597.594,52797,15926,0,55104,1.55
1780611598.595,52894,15898,0,55296,1.55
1780611599.595,53234,15859,0,55488,1.67
1780611600.595,53385,15825,0,55488,1.67
1780611601.595,53239,15825,0,55488,1.67
1780611602.595,53276,15816,0,55488,1.67
1780611603.595,53308,15816,0,55488,1.67
1780611604.596,53474,15816,0,55488,1.78
1780611605.596,53479,15816,0,55488,1.78
1780611606.596,53425,15878,1,55680,1.78
1780611607.596,53227,15906,0,55680,1.78
1780611608.596,53184,15922,0,55680,1.78
1780611609.596,53236,15940,0,55680,1.80
1780611610.596,53231,15964,0,55680,1.80
1780611611.597,53169,15994,0,55680,1.80
1780611612.597,53220,16014,0,55680,1.80
1780611613.597,53219,16011,0,55680,1.80
1780611614.597,53248,16011,0,55680,1.89
1780611615.597,53277,16010,0,55680,1.89
1780611616.597,53359,16010,0,55680,1.89
1780611617.597,53360,16009,0,55680,1.89
1780611618.597,53375,16009,0,55872,1.89
1780611619.598,53399,16010,0,55872,1.82
1780611620.598,53314,16053,0,55872,1.82
1780611621.598,52325,16087,26,55872,1.82
1780611622.598,52287,16126,0,55872,1.82
1780611623.598,52150,16187,0,55872,1.82
1780611624.598,51989,16221,0,54720,1.83
1780611625.598,52864,16188,0,55488,1.83
1780611626.598,52625,16188,0,55296,1.83
1780611627.599,52818,16142,0,55104,1.83
1780611628.599,52821,16142,0,55104,1.83
1780611629.599,52966,10908,0,55296,1.85
1780611630.599,53073,10905,0,55296,1.85
1780611631.599,53382,8626,0,55488,1.85
1780611632.599,53410,8626,0,55488,1.85
1780611633.599,53414,8097,0,55488,1.85
1780611634.600,53410,8097,0,55488,1.86
1780611635.600,53481,7594,0,55488,1.86
1780611636.600,52838,7623,0,55488,1.86
1780611637.600,52772,5077,1,55104,1.86
1780611638.600,53282,5126,2,55488,1.86
1780611639.600,53235,5161,0,55488,1.87
1780611640.600,53231,5164,0,55488,1.87
1780611641.601,53240,3485,0,55488,1.87
