t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780612273.020,146.6,10,102.8,0.00
1780612273.137,162.7,132,59.7,0.00
1780612273.255,167.8,518,50.8,0.00
1780612273.381,175.3,968,95.2,0.00
1780612273.490,185.9,1626,74.0,0.00
1780612273.729,197.7,2317,91.7,0.00
1780612273.843,213.2,3274,96.4,0.00
1780612274.062,226.5,4053,105.1,0.00
1780612274.183,237.8,4760,74.9,0.00
1780612274.307,255.8,5796,104.1,0.00
1780612274.509,262.0,6141,103.8,0.00
1780612274.638,279.1,7212,101.8,0.00
1780612274.761,296.7,8192,105.1,0.00
1780612275.065,304.4,8753,95.5,0.00
1780612275.212,323.1,9962,102.1,0.00
1780612275.355,343.7,11138,118.3,0.00
1780612275.695,358.4,12023,103.1,0.00
1780612275.850,379.1,13284,103.1,0.00
1780612276.008,400.5,14568,107.3,0.00
1780612276.493,422.1,15869,103.3,0.00
1780612276.935,438.6,16394,92.7,3926.58
1780612277.426,500.9,16394,122.1,436.94
1780612277.598,535.7,16394,110.4,436.94
1780612277.753,535.8,16394,110.0,436.94
1780612277.863,535.8,16394,45.4,436.94
1780612277.973,535.8,16394,9.1,436.94
1780612278.084,535.8,16394,9.1,436.94
1780612278.194,535.8,16394,9.1,436.94
1780612278.301,535.8,16394,0.0,436.94
1780612278.408,535.8,16394,9.4,436.94
1780612278.517,535.8,16394,9.2,436.94
1780612278.627,535.8,16394,9.1,436.94
1780612278.737,535.8,16394,9.1,436.94
1780612278.848,535.8,16394,9.1,436.94
1780612278.958,535.8,16394,9.1,436.94
1780612279.069,535.8,16394,9.0,436.94
1780612279.179,535.8,16394,9.1,436.94
1780612279.289,535.8,16394,9.1,436.94
1780612279.400,535.8,16394,18.1,436.94
1780612279.510,535.8,16394,0.0,436.94
1780612279.620,535.8,16394,9.1,436.94
1780612279.731,535.8,16394,18.1,436.94
1780612279.841,535.8,16394,9.0,436.94
1780612279.952,535.8,16394,9.1,436.94
1780612280.062,535.8,16394,0.0,436.94
1780612280.172,535.8,16394,9.1,436.94
1780612280.283,535.8,16394,9.0,436.94
1780612280.393,535.8,16394,9.1,436.94
1780612280.503,535.8,16394,9.1,436.94
1780612280.614,535.8,16394,9.1,436.94
1780612280.724,535.8,16394,9.1,436.94
1780612280.833,535.8,16394,18.2,436.94
