t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780606776.411,1451,500,0,7488,12.99
1780606777.412,5739,500,0,11520,12.99
1780606778.412,15821,500,0,21504,12.99
1780606779.413,26937,437,0,32640,12.99
1780606780.413,34221,437,0,39936,12.03
1780606781.414,34221,437,0,39936,12.03
1780606782.414,34221,437,0,39936,12.03
1780606783.414,34221,437,0,39936,12.03
1780606784.415,34221,437,0,39936,12.03
1780606785.415,34221,436,0,39936,11.15
1780606786.415,34221,436,0,39936,11.15
1780606787.416,34221,435,0,39936,11.15
1780606788.416,34221,435,0,39936,11.15
1780606789.417,34221,436,0,39936,11.15
1780606790.417,34221,436,0,39936,10.33
1780606791.417,34221,435,0,39936,10.33
1780606792.418,34223,435,0,39936,10.33
1780606793.418,34223,435,0,39936,10.33
1780606794.418,34329,437,0,42624,10.33
1780606795.419,34329,437,0,46464,9.91
1780606796.419,34329,437,0,48000,9.91
1780606797.419,34329,437,0,48000,9.91
1780606798.420,34329,437,0,50688,9.91
1780606799.420,34329,437,0,54720,9.91
1780606800.421,56709,437,0,62208,9.27
1780606801.421,58885,437,0,62208,9.27
1780606802.421,58886,436,0,62208,9.27
1780606803.422,58935,436,0,62208,9.27
1780606804.422,58939,436,0,62208,9.27
1780606805.422,59931,436,0,62592,8.77
1780606806.423,60356,436,0,67008,8.77
1780606807.423,69391,437,0,70464,8.77
1780606808.423,70437,438,0,71424,8.77
1780606809.424,71471,438,0,72576,8.77
1780606810.424,72241,437,0,73536,8.23
1780606811.424,67011,6429,50,70272,8.23
1780606812.425,63964,6973,0,65664,8.23
1780606813.425,63547,7110,0,65664,8.23
1780606814.425,62306,7732,52,65472,8.23
1780606815.426,63227,8435,182,64896,7.81
1780606816.426,62240,9147,46,65088,7.81
1780606817.426,61257,10086,2,64512,7.81
1780606818.427,60101,11025,49,64320,7.81
1780606819.427,59164,11962,0,63744,7.81
1780606820.428,58222,12901,25,62784,7.26
1780606821.428,57687,13868,49,61440,7.26
1780606822.429,54530,13696,0,58368,7.26
1780606823.429,55148,13696,0,59136,7.26
1780606824.430,55486,13696,0,60288,7.26
1780606825.430,56107,13696,0,60288,6.76
1780606826.431,56419,13695,0,60288,6.76
1780606827.431,57159,13695,0,60672,6.76
1780606828.431,57530,13599,10,61056,6.76
1780606829.432,57252,13728,0,61056,6.76
1780606830.432,57252,13409,0,61056,6.76
1780606831.432,57240,13414,0,61056,6.38
1780606832.433,57206,13404,0,61056,6.38
1780606833.433,57982,13473,0,61440,6.38
1780606834.434,58249,13661,0,61440,6.38
1780606835.434,58347,13609,0,62208,6.38
1780606836.434,58921,13385,0,62784,6.03
1780606837.435,58925,13385,0,62784,6.03
1780606838.435,58925,13386,0,62784,6.03
1780606839.436,58929,13355,0,62976,6.03
1780606840.436,56659,14259,47,60672,6.03
1780606841.436,55415,14440,0,59712,5.79
1780606842.437,57678,13786,0,61056,5.79
1780606843.437,59390,13435,0,61824,5.79
1780606844.438,59284,13435,0,62400,5.79
1780606845.438,59284,13435,0,62784,5.79
1780606846.438,59288,13435,0,62784,5.40
1780606847.439,58569,13194,0,62016,5.40
1780606848.439,58084,13684,13,61824,5.40
1780606849.440,56806,14116,0,60672,5.40
1780606850.440,58204,14117,0,61440,5.40
1780606851.440,59569,13853,0,62784,5.21
1780606852.441,59569,13853,0,63168,5.21
1780606853.441,59470,13853,0,63168,5.21
1780606854.442,59203,13853,0,63168,5.21
1780606855.442,58433,13851,0,62208,5.21
1780606856.443,56768,15016,40,61056,5.11
1780606857.443,54893,16020,0,59136,5.11
1780606858.443,54446,15571,0,58752,5.11
1780606859.444,54435,15582,0,58752,5.11
1780606860.444,54435,15582,0,58752,5.11
1780606861.445,53347,15571,0,58560,4.78
1780606862.445,55671,15163,0,59520,4.78
1780606863.445,56624,14906,0,60096,4.78
1780606864.446,58099,14675,0,61248,4.78
1780606865.446,58703,14648,0,61824,4.78
1780606866.447,58703,14648,0,62400,4.56
1780606867.447,58703,14647,0,62400,4.56
1780606868.447,58685,14647,0,62400,4.56
1780606869.448,56810,15400,35,61248,4.56
1780606870.448,54887,15598,0,59136,4.56
1780606871.448,57943,14898,0,60480,4.35
1780606872.449,57950,14898,0,61056,4.35
1780606873.449,57950,9370,0,61632,4.35
1780606874.450,57950,9370,0,61632,4.35
1780606875.450,57950,9001,0,61632,4.35
1780606876.450,56230,9813,50,60864,4.17
1780606877.451,54738,9248,0,59328,4.17
1780606878.451,55143,9167,0,59712,4.17
1780606879.452,55327,8702,0,59712,4.17
1780606880.452,55327,8702,0,59712,4.17
1780606881.452,55327,8449,0,59712,3.91
1780606882.453,55327,8450,0,59712,3.91
1780606883.453,56085,5123,0,60480,3.91
1780606884.454,55824,5285,80,60096,3.91
1780606885.454,56339,5310,0,60096,3.91
1780606886.455,57594,5211,0,60672,3.92
1780606887.455,57616,5211,0,61248,3.92
1780606888.455,57616,5211,0,61248,3.92
1780606889.456,57614,5211,0,61248,3.92
1780606890.456,57529,5135,117,61248,3.92
1780606891.457,56717,5307,0,61056,3.93
1780606892.457,55814,6111,0,59712,3.93
1780606893.457,55821,6111,0,59712,3.93
1780606894.458,55885,6093,0,59904,3.93
1780606895.458,55885,6093,0,59904,3.93
1780606896.459,55805,6093,0,60096,3.77
1780606897.459,55859,6132,0,60288,3.77
1780606898.459,55467,6328,1,59904,3.77
1780606899.460,54948,6324,0,59520,3.77
1780606900.460,55468,6265,0,59520,3.77
1780606901.460,55546,6266,0,59712,3.63
1780606902.461,55563,5580,0,59712,3.63
1780606903.461,55563,5580,0,59712,3.63
1780606904.461,55562,5580,0,59712,3.63
1780606905.462,55276,5580,0,59712,3.63
1780606906.462,55898,5452,0,59712,3.50
1780606907.462,55464,5734,0,60096,3.50
1780606908.463,56429,5700,0,60672,3.50
1780606909.463,56630,5700,0,60864,3.50
1780606910.464,56630,4829,0,60864,3.50
1780606911.464,56630,4829,0,60864,3.30
1780606912.464,56551,4829,0,60864,3.30
1780606913.465,55857,4829,0,60480,3.30
1780606914.465,56195,4813,0,60480,3.30
1780606915.465,56934,4885,0,61056,3.30
1780606916.466,57157,4394,0,61440,3.19
1780606917.466,57159,4394,0,61440,3.19
1780606918.467,57068,3497,0,61440,3.19
1780606919.467,56895,3671,0,61248,3.19
1780606920.468,56429,3844,1,60864,3.19
1780606921.468,54459,4251,0,58944,3.02
1780606922.468,54483,4362,0,59136,3.02
1780606923.469,55825,4208,0,60096,3.02
1780606924.469,53604,4047,0,60480,3.02
1780606925.470,53604,4047,0,60480,3.02
1780606926.470,53604,4047,0,60480,2.86
1780606927.471,53590,4047,0,60480,2.86
1780606928.471,52628,4269,0,57024,2.86
1780606929.471,54747,4437,0,59136,2.86
1780606930.472,55190,3620,0,58944,2.86
1780606931.472,56443,3582,0,60096,2.79
1780606932.473,56435,3582,0,60096,2.79
1780606933.473,56155,3582,0,60096,2.79
1780606934.473,56144,3582,0,60096,2.79
1780606935.474,55774,3766,0,59904,2.79
