t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780610470.112,131.9,10,0.0,0.00
1780610470.213,131.9,14,0.0,100.15
1780610470.313,131.9,14,0.0,0.12
1780610470.414,131.9,14,0.0,0.12
1780610470.514,133.1,14,20.0,0.12
1780610470.614,139.9,14,10.0,0.91
1780610470.714,140.7,14,0.0,1.02
1780610470.814,141.2,14,10.0,1.02
1780610470.914,141.2,14,0.0,1.02
1780610471.014,141.2,14,0.0,1.02
1780610471.116,141.2,14,9.8,1.02
1780610471.216,141.2,14,0.0,1.02
1780610471.316,141.2,14,0.0,1.02
1780610471.416,141.2,14,10.0,1.02
1780610471.516,141.2,14,0.0,1.02
1780610471.617,141.2,14,10.0,1.02
1780610471.717,141.2,14,0.0,1.02
1780610471.817,141.2,14,0.0,1.73
1780610471.917,141.2,14,10.0,1.73
1780610472.017,141.2,14,0.0,1.73
1780610472.117,141.2,14,0.0,1.73
1780610472.217,141.4,14,10.0,1.73
1780610472.317,141.7,14,0.0,1.73
1780610472.417,142.0,14,10.0,1.73
1780610472.518,142.0,14,0.0,1.73
1780610472.618,142.2,14,10.0,1.73
1780610472.718,142.2,14,0.0,1.73
1780610472.818,142.2,14,10.0,1.73
1780610472.918,142.2,14,0.0,1.73
1780610473.018,142.2,14,0.0,1.73
1780610473.118,142.2,14,10.0,1.73
1780610473.218,142.2,14,0.0,2.04
1780610473.318,142.2,14,0.0,2.04
1780610473.419,142.2,14,10.0,2.04
1780610473.519,142.2,14,0.0,2.04
1780610473.620,142.2,14,9.8,2.04
1780610473.721,142.2,14,0.0,2.04
1780610473.821,142.2,14,10.0,2.04
1780610473.921,142.2,14,0.0,2.04
1780610474.021,142.2,14,0.0,2.04
1780610474.121,142.2,14,10.0,2.04
1780610474.221,142.2,14,0.0,2.04
1780610474.321,142.2,14,0.0,2.04
1780610474.421,142.2,14,10.0,2.04
1780610474.521,142.2,14,10.0,2.04
1780610474.622,142.2,14,0.0,2.04
1780610474.722,142.2,14,0.0,2.04
1780610474.822,142.2,14,20.0,2.04
1780610474.922,142.2,14,0.0,2.04
1780610475.022,142.2,14,0.0,2.04
1780610475.122,142.2,14,10.0,2.04
1780610475.222,142.2,14,0.0,2.04
1780610475.322,142.2,14,10.0,2.04
1780610475.422,142.2,14,0.0,2.04
1780610475.522,142.2,14,10.0,2.04
1780610475.623,142.2,14,0.0,2.04
1780610475.723,142.2,14,0.0,2.04
1780610475.823,142.2,14,10.0,2.04
1780610475.923,142.2,14,0.0,2.04
1780610476.023,142.2,14,10.0,2.04
1780610476.123,142.2,14,0.0,2.04
1780610476.223,142.2,14,0.0,2.04
1780610476.323,142.2,14,10.0,2.04
1780610476.423,142.2,14,0.0,2.04
1780610476.524,142.2,14,10.0,2.04
1780610476.624,142.2,14,0.0,2.04
1780610476.724,142.2,14,10.0,1.87
1780610476.824,142.2,14,0.0,1.87
1780610476.924,142.2,14,0.0,1.87
1780610477.024,142.2,14,10.0,1.87
1780610477.124,142.2,14,0.0,1.87
1780610477.227,142.2,14,9.8,1.87
1780610477.327,142.2,14,0.0,1.87
1780610477.427,142.2,14,10.0,1.87
1780610477.527,142.2,14,0.0,1.87
1780610477.627,142.2,14,0.0,1.87
1780610477.727,144.5,14,10.0,1.87
1780610477.827,144.5,14,0.0,1.87
1780610477.927,144.5,14,10.0,1.87
1780610478.027,144.5,14,10.0,1.87
1780610478.128,144.5,14,0.0,1.87
1780610478.230,144.5,14,0.0,1.87
1780610478.330,144.5,14,0.0,1.87
1780610478.430,144.5,14,10.0,1.87
1780610478.530,144.5,14,0.0,1.87
1780610478.630,144.5,14,10.0,1.87
1780610478.730,144.5,14,0.0,1.87
1780610478.831,144.5,14,10.0,1.87
1780610478.931,144.5,14,0.0,1.87
1780610479.031,144.5,14,10.0,1.87
1780610479.131,144.5,14,0.0,1.87
1780610479.231,144.5,14,0.0,1.87
1780610479.331,144.5,14,10.0,1.87
1780610479.431,144.5,14,0.0,1.87
1780610479.531,144.5,14,10.0,1.87
1780610479.631,144.5,14,0.0,1.84
1780610479.732,144.5,14,10.0,1.84
1780610479.832,144.5,14,0.0,1.84
1780610479.932,144.5,14,10.0,1.84
1780610480.032,144.5,14,0.0,1.84
1780610480.132,144.5,14,0.0,1.84
1780610480.232,144.5,14,10.0,1.84
1780610480.332,144.5,14,0.0,1.84
1780610480.432,144.5,14,0.0,1.84
