t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780611183.899,1451,1833,0,6528,7.83
1780611184.900,9341,1822,0,14208,7.83
1780611185.900,9645,1822,0,14592,7.83
1780611186.900,9645,1821,0,14592,7.83
1780611187.900,10085,1821,0,15552,7.83
1780611188.900,10085,1820,0,17856,7.28
1780611189.900,16989,1793,0,20544,7.28
1780611190.901,18130,1794,0,20736,7.28
1780611191.901,22218,1786,0,23808,7.28
1780611192.901,22893,1764,0,25536,7.28
1780611193.901,23926,1763,0,26304,6.86
1780611194.901,24100,1764,0,26496,6.86
1780611195.901,24181,1682,0,26496,6.86
1780611196.901,19567,4127,51,22656,6.86
1780611197.902,17043,5113,25,20160,6.86
1780611198.902,16521,5355,0,19776,6.47
1780611199.902,16540,4342,0,19776,6.47
1780611200.902,16542,4342,0,19776,6.47
1780611201.902,16533,4221,0,19776,6.47
1780611202.902,16529,4220,0,19776,6.47
1780611203.902,16445,4225,0,19776,6.11
1780611204.902,16306,4292,2,19776,6.11
1780611205.903,16540,4295,0,19968,6.11
1780611206.903,16637,4340,0,19968,6.11
1780611207.903,16638,4279,0,19968,6.11
1780611208.903,16695,4279,0,19968,5.78
1780611209.903,16696,4279,0,19968,5.78
1780611210.903,16689,4287,0,19968,5.78
1780611211.904,16666,4307,2,19968,5.78
1780611212.904,16582,4368,1,19968,5.78
1780611213.904,16440,4386,1,19968,5.48
1780611214.904,16380,4411,0,19968,5.48
1780611215.904,16298,4412,0,19968,5.48
1780611216.904,16196,4470,0,19968,5.48
1780611217.904,16186,4470,0,19776,5.48
1780611218.905,16180,4494,0,19776,5.20
1780611219.905,16286,4499,0,19776,5.20
1780611220.905,16286,4494,0,19776,5.20
1780611221.905,16306,4494,0,19776,5.20
1780611222.905,16429,4490,0,19776,5.20
1780611223.905,16486,4496,0,19776,5.10
1780611224.905,16620,4494,0,19968,5.10
1780611225.906,16625,4494,0,19968,5.10
1780611226.906,16658,4506,0,19968,5.10
1780611227.906,16657,4503,0,19968,5.10
1780611228.906,16646,4520,0,19968,4.85
1780611229.906,16639,4526,1,19968,4.85
1780611230.906,16604,4529,0,19968,4.85
1780611231.906,16214,4681,0,19776,4.85
1780611232.907,16080,4733,0,19584,4.85
1780611233.907,16096,4738,0,19584,4.71
1780611234.907,16199,4725,0,19584,4.71
1780611235.907,16320,4725,0,19776,4.71
1780611236.907,16325,4528,0,19776,4.71
1780611237.907,16332,4528,0,19776,4.71
