t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780611905.474,1451,489,0,6720,1.76
1780611906.474,9341,489,0,14016,1.76
1780611907.475,19345,489,0,23808,1.76
1780611908.475,31705,488,0,36288,1.76
1780611909.475,34221,488,0,38592,1.70
1780611910.475,34221,426,0,38592,1.70
1780611911.475,34221,426,0,38592,1.70
1780611912.476,34221,427,0,38592,1.70
1780611913.476,34221,428,0,38592,1.70
1780611914.476,34221,427,0,38592,1.64
1780611915.476,34221,428,0,38592,1.64
1780611916.476,34221,429,0,38592,1.64
1780611917.477,34221,429,0,38592,1.64
1780611918.477,34221,428,0,38592,1.64
1780611919.477,34247,428,0,38784,1.59
1780611920.477,34247,427,0,38784,1.59
1780611921.477,34247,427,0,42432,1.59
1780611922.477,34247,427,0,46272,1.59
1780611923.477,34247,428,0,49152,1.59
1780611924.478,34247,428,0,49152,1.54
1780611925.478,34247,428,0,50304,1.54
1780611926.478,34247,429,0,54144,1.54
1780611927.478,57073,429,0,61248,1.54
1780611928.478,59234,429,0,61248,1.54
1780611929.478,59236,429,0,61248,1.58
1780611930.479,59236,429,0,61440,1.58
1780611931.479,59240,429,0,61440,1.58
1780611932.479,60072,429,0,62016,1.58
1780611933.479,60366,429,0,63168,1.58
1780611934.479,61456,429,0,64128,1.77
1780611935.479,62656,429,0,67392,1.77
1780611936.480,68568,429,0,72192,1.77
1780611937.480,70811,429,0,74496,1.77
1780611938.480,66914,4582,0,67584,1.77
1780611939.480,63480,8028,13,64128,1.79
1780611940.480,62442,9068,52,63168,1.79
1780611941.480,59143,9057,2,60672,1.79
1780611942.481,61448,9062,0,63168,1.79
1780611943.481,61443,9067,0,64128,1.79
1780611944.481,61443,9067,0,64128,1.73
1780611945.481,61395,11398,52,63552,1.73
1780611946.481,61090,12314,129,63552,1.73
1780611947.481,60044,13717,0,64896,1.73
1780611948.481,59523,14450,0,63936,1.73
1780611949.482,57202,14447,0,61824,1.67
1780611950.482,54972,15409,49,58560,1.67
1780611951.482,54733,16441,45,57792,1.67
1780611952.482,52105,16577,0,55872,1.67
1780611953.482,52766,16574,0,55872,1.67
1780611954.482,53156,16574,0,55872,1.62
1780611955.483,53156,16573,0,56064,1.62
1780611956.483,53234,16531,0,56064,1.62
1780611957.483,53253,16435,0,56064,1.62
1780611958.483,53060,16546,0,55872,1.62
1780611959.483,53060,16232,0,55872,1.65
1780611960.484,53024,16232,0,55872,1.65
1780611961.484,53352,16122,0,55872,1.65
1780611962.484,53408,16104,0,55872,1.65
1780611963.484,53092,16242,0,55872,1.65
1780611964.484,53179,16243,0,55872,1.68
1780611965.484,53205,16232,0,55872,1.68
1780611966.485,53388,16127,0,55872,1.68
1780611967.485,53433,16087,0,55872,1.68
1780611968.485,53444,16082,0,55872,1.68
1780611969.485,53454,16080,0,55872,1.70
1780611970.485,53218,16080,0,55872,1.70
1780611971.485,53073,16044,0,55488,1.70
1780611972.486,53340,16048,0,55680,1.70
1780611973.486,53347,16046,3,55872,1.70
1780611974.486,53380,16051,0,55872,1.81
1780611975.486,52440,16057,0,55104,1.81
1780611976.486,53309,16057,0,55680,1.81
1780611977.486,53374,16056,0,55872,1.81
1780611978.487,53398,16056,0,55872,1.81
1780611979.487,53325,16056,0,55872,1.90
1780611980.487,53296,16064,0,55872,1.90
1780611981.487,53317,16073,0,55872,1.90
1780611982.487,53251,16084,0,55872,1.90
1780611983.487,53207,16118,0,55872,1.90
1780611984.488,53151,16147,0,55872,1.91
1780611985.488,53101,16159,0,55872,1.91
1780611986.488,53131,16164,0,55872,1.91
1780611987.488,53098,16166,0,55872,1.91
1780611988.488,53063,16166,0,55872,1.91
1780611989.489,53011,16178,0,55872,1.84
1780611990.489,52968,16188,0,55872,1.84
1780611991.489,52957,16210,0,55872,1.84
1780611992.489,52928,16238,0,55872,1.84
1780611993.489,52826,16227,0,55872,1.84
1780611994.489,52837,16227,0,55872,1.77
1780611995.490,53018,16225,0,55872,1.77
1780611996.490,53072,16225,0,55872,1.77
1780611997.490,53082,16225,0,55872,1.77
1780611998.490,53101,16209,0,55872,1.77
1780611999.490,53112,16209,0,55872,1.87
1780612000.490,52724,12188,0,55680,1.87
1780612001.490,52892,12203,0,55680,1.87
1780612002.491,53052,7803,0,55872,1.87
1780612003.491,53046,7803,0,55872,1.87
1780612004.491,53106,7788,0,55872,1.88
1780612005.491,53174,7772,0,55872,1.88
1780612006.491,53217,7729,0,55872,1.88
1780612007.492,53219,7729,0,55872,1.88
1780612008.492,53207,7729,0,55872,1.88
1780612009.492,53159,7745,0,55872,1.89
1780612010.492,53156,3217,0,55872,1.89
1780612011.492,53120,3214,0,55872,1.89
1780612012.492,53144,2247,0,55872,1.89
1780612013.493,52176,2247,0,55872,1.89
1780612014.493,52185,383,0,55104,1.98
1780612015.493,53123,393,0,55872,1.98
1780612016.493,53122,401,0,55872,1.98
1780612017.493,53108,401,0,55872,1.98
1780612018.494,53120,273,0,55872,1.98
