t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780610524.561,131.4,11,0.0,0.00
1780610524.662,131.4,26,9.9,100.98
1780610524.762,131.4,26,0.0,0.12
1780610524.862,132.7,26,10.0,0.37
1780610524.963,132.7,26,0.0,0.37
1780610525.063,132.7,26,0.0,0.37
1780610525.163,132.7,26,0.0,0.37
1780610525.263,132.7,26,0.0,0.37
1780610525.363,132.7,26,0.0,0.37
1780610525.463,132.7,26,0.0,0.37
1780610525.563,138.8,26,10.0,0.71
1780610525.663,138.8,26,0.0,0.71
1780610525.763,140.6,26,20.0,0.71
1780610525.864,140.6,26,0.0,0.71
1780610525.964,140.6,26,0.0,0.71
1780610526.064,140.6,26,0.0,0.71
1780610526.165,143.6,26,9.9,1.42
1780610526.265,143.6,26,20.0,2.75
1780610526.365,143.6,26,0.0,2.75
1780610526.465,143.6,26,0.0,2.75
1780610526.565,143.6,26,0.0,2.75
1780610526.665,143.6,26,0.0,2.75
1780610526.765,143.6,26,0.0,2.75
1780610526.865,143.6,26,0.0,2.75
1780610526.965,144.1,26,20.0,2.75
1780610527.066,144.1,26,0.0,2.75
1780610527.166,144.1,26,10.0,2.75
1780610527.266,144.1,26,0.0,2.75
1780610527.366,144.1,26,0.0,2.75
1780610527.466,144.1,26,10.0,2.75
1780610527.566,144.1,26,0.0,2.75
1780610527.666,144.1,26,10.0,2.75
1780610527.766,144.1,26,0.0,2.75
1780610527.866,144.1,26,0.0,2.75
1780610527.967,146.9,26,20.0,2.75
1780610528.067,146.9,26,0.0,2.75
1780610528.167,146.9,26,0.0,2.75
1780610528.267,146.9,26,10.0,2.75
1780610528.367,146.9,26,10.0,2.75
1780610528.467,146.9,26,0.0,2.75
1780610528.567,146.9,26,10.0,2.75
1780610528.667,146.9,26,10.0,2.75
1780610528.767,146.9,26,0.0,2.75
1780610528.868,146.9,26,0.0,2.75
1780610528.968,146.9,26,10.0,2.75
1780610529.068,146.9,26,10.0,2.75
1780610529.168,146.9,26,0.0,2.75
1780610529.268,146.9,26,0.0,2.75
1780610529.368,146.9,26,10.0,2.75
1780610529.468,146.9,26,10.0,2.75
1780610529.568,146.9,26,0.0,2.75
1780610529.668,146.9,26,10.0,2.75
1780610529.769,146.9,26,10.0,2.75
1780610529.869,146.9,26,0.0,2.75
1780610529.969,146.9,26,0.0,2.75
1780610530.069,146.9,26,10.0,2.75
1780610530.169,146.9,26,10.0,2.75
1780610530.269,146.9,26,0.0,2.75
1780610530.370,146.9,26,10.0,2.75
1780610530.470,146.9,26,0.0,2.75
1780610530.570,146.9,26,10.0,2.75
1780610530.670,146.9,26,0.0,2.75
1780610530.770,146.9,26,10.0,2.75
1780610530.870,146.9,26,10.0,2.75
1780610530.971,146.9,26,0.0,2.75
1780610531.071,146.9,26,0.0,2.75
1780610531.171,146.9,26,0.0,2.02
1780610531.271,146.9,26,10.0,2.02
1780610531.373,146.9,26,9.8,2.02
1780610531.473,146.9,26,0.0,2.02
1780610531.573,146.9,26,10.0,2.02
1780610531.673,146.9,26,0.0,2.02
1780610531.773,146.9,26,0.0,2.02
1780610531.873,146.9,26,0.0,2.02
1780610531.973,147.1,26,20.0,2.02
1780610532.073,147.1,26,0.0,2.02
1780610532.174,147.1,26,0.0,2.02
1780610532.274,147.1,26,10.0,2.02
1780610532.374,147.1,26,10.0,2.02
1780610532.474,147.1,26,0.0,2.02
1780610532.574,147.1,26,10.0,2.02
1780610532.674,147.1,26,0.0,1.91
1780610532.774,147.1,26,10.0,1.91
1780610532.874,147.1,26,0.0,1.91
1780610532.974,147.1,26,20.0,1.91
1780610533.075,147.1,26,0.0,1.91
1780610533.175,147.1,26,0.0,1.91
1780610533.275,147.1,26,10.0,1.91
1780610533.375,147.1,26,0.0,1.91
1780610533.475,147.1,26,10.0,1.91
