latency_s
0.474665
0.692222
0.696734
1.024801
1.232238
1.236385
1.429952
1.433593
1.611400
1.615199
2.101200
2.426606
2.428958
2.509868
2.794323
2.751786
2.841763
2.845384
2.878774
3.009470
3.099768
3.123924
3.126797
3.219788
2.829907
3.307326
3.310703
3.469896
3.563641
3.566911
3.856626
4.050121
4.053050
4.186671
4.190346
4.193340
4.403402
4.408512
4.413509
4.416017
4.418815
4.424561
4.427907
4.429600
4.432525
4.435778
4.437830
4.442878
4.445575
4.448198
3.956201
3.964092
4.655107
4.657685
4.715277
4.718825
4.722283
4.725159
4.727643
4.982153
5.026169
4.989487
4.992570
5.081959
5.086319
5.089992
5.092640
4.239928
4.033025
3.837330
3.842899
3.843020
4.029409
4.241144
3.515167
3.285843
2.923014
3.296362
3.217213
2.935219
2.875932
3.456702
3.550898
3.720821
3.720405
3.440853
3.446940
3.352908
3.242221
3.747365
4.014016
3.799626
3.766239
5.097087
4.939028
3.962388
3.974955
3.977967
4.857589
4.856868
4.232468
3.978820
3.993086
4.366182
4.371035
4.354783
4.607346
5.490512
5.500321
4.752500
4.951823
4.370630
4.404413
3.876501
3.991237
3.887438
4.291581
4.300048
4.377676
4.980335
4.793141
4.709759
4.626736
4.628162
5.101173
5.042281
5.036139
4.734148
5.118051
5.056991
4.748225
4.516847
4.516004
4.517009
4.155533
4.122979
4.158585
4.152425
4.426362
4.671165
4.420047
4.535435
4.701093
4.697169
4.431819
3.647978
3.686006
2.599502
3.753016
3.817124
3.883722
3.892615
3.884546
4.218451
4.556782
3.978830
4.788278
4.791160
4.210219
4.803833
4.192818
3.980849
4.585050
4.203294
4.590649
4.209105
4.596904
4.214909
4.001788
4.220661
4.605550
4.840583
5.467853
4.865673
5.480650
5.690145
5.460303
5.106311
4.864951
5.083499
5.087105
4.872739
5.092140
5.479891
4.326156
4.363445
4.335070
3.963514
4.366975
4.343349
4.346928
3.874092
4.253464
4.353900
4.842888
5.279573
5.586855
5.950219
5.527097
5.629214
5.545770
5.536599
5.095986
5.273826
5.268727
5.271917
5.649831
5.653256
5.694984
5.295594
5.002770
5.565931
5.004401
5.064325
5.313452
5.197342
5.004615
2.849451
4.141254
4.153260
4.814106
3.784792
3.782989
4.877353
3.993715
5.071514
4.156981
5.040349
5.049277
4.165202
5.079342
5.042394
3.945639
5.084166
5.053923
5.150603
6.422424
5.278695
5.281389
6.393303
5.516215
5.517824
5.520334
6.398314
5.526803
5.529368
6.434148
5.567762
5.537427
5.312799
5.543267
6.448643
5.321313
5.323659
6.453651
5.596398
