t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780610658.160,1685,741,0,6528,10.12
1780610659.160,3175,741,0,7680,10.12
1780610660.160,3183,741,0,7872,10.12
1780610661.161,3183,736,0,7872,10.12
1780610662.161,3183,736,0,7872,10.12
1780610663.161,3183,735,0,7872,9.47
1780610664.161,3122,768,0,7872,9.47
1780610665.161,3061,776,0,7872,9.47
1780610666.162,2980,815,0,7872,9.47
1780610667.162,2878,853,8,7872,9.47
1780610668.162,2805,869,0,8064,8.95
1780610669.162,2807,870,0,8064,8.95
1780610670.162,2807,870,0,8064,8.95
1780610671.163,2851,869,0,8064,8.95
1780610672.163,2859,869,0,8064,8.95
1780610673.163,2879,869,0,8064,8.40
1780610674.163,2879,869,0,8064,8.40
1780610675.163,2879,782,0,8064,8.40
1780610676.164,2879,782,0,8064,8.40
1780610677.164,2879,621,0,8064,8.40
1780610678.164,2871,624,0,8064,7.88
1780610679.164,2813,638,0,8064,7.88
1780610680.164,2787,648,0,8064,7.88
1780610681.165,2753,652,0,8064,7.88
1780610682.165,2749,652,0,8064,7.88
1780610683.165,2749,592,0,8064,7.41
1780610684.165,2731,604,0,7872,7.41
1780610685.165,2751,604,0,7872,7.41
1780610686.166,2759,605,0,7872,7.41
1780610687.166,2777,605,0,7872,7.41
1780610688.166,2777,605,0,7872,7.06
1780610689.166,2779,605,0,7872,7.06
1780610690.166,2779,605,0,7872,7.06
1780610691.167,2779,605,0,7872,7.06
1780610692.167,2779,605,0,7872,7.06
1780610693.167,2779,605,0,7872,6.81
1780610694.167,2777,605,0,7872,6.81
1780610695.168,2771,609,0,7872,6.81
1780610696.168,2729,613,0,7872,6.81
1780610697.168,2713,613,0,7872,6.81
1780610698.168,2690,626,0,7872,6.35
1780610699.169,2715,626,0,7872,6.35
1780610700.169,2785,626,0,7872,6.35
1780610701.169,2851,626,0,7872,6.35
1780610702.169,2865,623,0,8064,6.35
1780610703.170,2885,623,0,8064,6.00
1780610704.170,2953,621,0,8064,6.00
1780610705.170,2955,621,0,8064,6.00
1780610706.170,2963,623,1,8064,6.00
1780610707.170,2942,644,0,8064,6.00
