trainer_shape,concurrent_rpcs,throughput_rps,p50_s,p99_s,failure_rate,completion_rate,saturated,completed,wall_s,stop_reason
sync_rpc1,1,0.14757244699681474,3.764780345838517,3.8085824117437004,0.0,1.0,False,5,33.88166356086731,
sync_rpc4,4,0.555835875550397,4.072264492046088,4.2518757899338375,0.0,1.0,False,20,35.981844425201416,
sync_rpc16,16,1.7591907252238288,5.468298968160525,6.349821541584097,0.0,1.0,False,80,45.47545576095581,
sync_rpc64,64,3.5937204501052817,11.836762077407911,16.4779775409773,0.0,1.0,False,320,89.04421043395996,
sync_rpc256,256,4.852856931056936,38.74001594609581,51.30610717948992,0.0,1.0,False,1280,263.7621545791626,
sync_rpc1024,1024,4.490355818228384,182.45894835400395,240.64261128192302,0.0,1.0,False,5120,1140.2214450836182,
stream_allrows,1,4.581725635969595,174.37314536445774,262.76503423967927,0.0,1.0,False,5120,1117.4828889369965,
