work_per_call_ms,throughput_rps,steady_throughput_rps,p50_s,p99_s,failure_rate,completion_rate,saturated,completed,wall_s,stop_reason
0,13.588476408170745,13.640657661376588,4.583541505038738,6.403244108892977,0.000490075961774075,0.20405,True,4081,300.328004215844,wall_clock>300.0s
64,13.704120479104551,13.810589776622841,4.599191793706268,6.455329486634582,0.000485319097306479,0.20605,True,4121,300.7124759508297,wall_clock>300.0s
256,13.33649153767654,13.512681205171399,4.688891410827637,6.899685814976692,0.0004995004995004995,0.2002,True,4004,300.22888618707657,wall_clock>300.0s
1024,10.822215703794765,11.086254789226135,5.871874823700637,9.402945125009865,0.0006148170919151552,0.16265,True,3253,300.58539665397257,wall_clock>300.0s
