n_agents,per_agent_concurrency,total_concurrency,throughput_rps,steady_throughput_rps,p50_s,p99_s,failure_rate,completion_rate,saturated,completed,wall_s,stop_reason
1,256,256,15.640777847304475,16.024868609810785,15.294654311146587,26.55787072237581,0.0005321979776476849,0.1879,True,3758,240.26938025001436,wall_clock>240.0s
2,256,512,29.289135556615,30.09191282010148,16.141366596333683,26.989701782818884,0.000282326369282891,0.3542,True,7084,241.86442738492042,wall_clock>240.0s
4,256,1024,38.658608121344884,39.582998973224655,17.190122602973133,73.87646303279325,0.00021526208158432892,0.46455,True,9291,240.33457104396075,wall_clock>240.0s
8,256,2048,36.73853052775386,36.87020101655044,25.456196657381952,192.82803583797067,0.0,0.44125,True,8825,240.21102295676246,wall_clock>240.0s
16,256,4096,36.647716688735684,37.26643273138055,25.272630940191448,222.62764776311815,0.00021869874248223073,0.45725,True,9145,249.538056563586,wall_clock>240.0s
32,256,8192,38.44152225007969,39.12189404054178,12.44462108425796,201.08580359769985,0.00021558693543171284,0.46385,True,9277,241.32759206695482,wall_clock>240.0s
