variant,spawn_jitter_s,force_close,failure_rate,successes,failures,client_payload_errors,error_types
baseline,0.0,False,0.0,32768,0,0,{}
jitter30,30.0,False,0.0,32768,0,0,{}
force_close,0.0,True,0.0,32768,0,0,{}
