context_tokens,approx_body_mb,throughput_rps,steady_throughput_rps,p50_s,p99_s,failure_rate,completion_rate,saturated,completed,wall_s,stop_reason
16384,0.4,45.58741598093829,51.074526995144375,1.2518494799733162,1.8856962844729424,0.0,1.0,False,256,5.615584794431925,
32768,0.9,27.283915120092676,28.537934825425314,2.2246865816414356,3.0119278952479362,0.0,1.0,False,256,9.382817637175322,
65536,1.7,13.145218330836657,13.477033861181464,4.424561332911253,6.434148371219635,0.0,1.0,False,256,19.474762119352818,
131072,3.4,7.616203853718795,7.776204609531651,7.997075252234936,11.16015600413084,0.0,1.0,False,256,33.61254568770528,
262144,6.8,4.02073728715838,4.872129450569099,15.032045934349298,22.191065933555365,0.0,1.0,False,256,63.66991467401385,
524288,13.6,1.8418219399334987,2.102626521377162,33.08658226206899,49.22403259202838,0.0,1.0,False,256,138.9928062260151,
1048576,27.3,0.8872286128147003,0.950990700353678,70.1811837553978,102.77281567826867,0.0,1.0,False,256,288.53893607854843,
2097152,54.5,0.4104499780807019,0.4443405064828596,36.482160955667496,65.7446572817862,0.016129032258064516,0.484375,True,124,302.10745918378234,wall_clock>300.0s
4194304,109.1,0.16903068139976227,0.18301783217399045,81.10118117183447,150.47749884426594,0.0392156862745098,0.19921875,True,51,301.7203715778887,wall_clock>300.0s
