concurrency,throughput_rps,steady_throughput_rps,p50_s,p99_s,failure_rate,completion_rate,saturated,completed,wall_s,stop_reason
1,7.516870352640905,7.599266812908696,0.13218639371916652,0.14957112120464444,0.0,1.0,False,128,17.028363400604576,
4,12.39424883962642,12.78966685674728,0.31165463384240866,0.5053817168809474,0.0,1.0,False,128,10.327370513230562,
16,14.238266543230724,14.644442423492213,1.0578033518977463,1.6117560639977455,0.0,1.0,False,128,8.989858394023031,
64,13.766431878441212,13.94250017206702,4.563568789046258,7.144385537598282,0.0,1.0,False,512,37.1919175949879,
256,15.189475364610367,15.73659648533917,15.790364176034927,34.23415414709598,0.0,1.0,False,2048,134.83019991405308,
1024,14.799764081968068,15.105967794308533,21.45349627826363,281.9725073808804,0.00045004500450045,0.54248046875,True,4444,300.2750567770563,wall_clock>300.0s
4096,13.07958377974376,13.59615586308076,145.2523503890261,287.8510099821724,0.0005092946269416857,0.19635,True,3927,300.23891173675656,wall_clock>300.0s
16384,10.176509771149123,12.016227777644042,191.7229362069629,298.65893621509895,0.0006495615459564793,0.15395,True,3079,302.55952868331224,wall_clock>300.0s
65536,11.172026689111615,13.415569282656675,174.05761879496276,295.7554303458892,0.0,0.1683,True,3366,301.28821687120944,wall_clock>300.0s
131072,11.10865302321317,14.12231041576363,164.13790509523824,296.9568442227319,0.0,0.1676,True,3352,301.74675480416045,wall_clock>300.0s
