tool_calls_per_rollout,throughput_rps,steady_throughput_rps,p50_s,p99_s,failure_rate,completion_rate,saturated,completed,wall_s,stop_reason
1,68.89609324896558,109.18508250438472,0.010394297540187836,0.040831610560417175,0.0,1.0,False,8,0.11611688882112503,
2,48.939691529237194,69.93274837956692,0.01624181494116783,0.04767121747136116,0.0,1.0,False,8,0.16346649825572968,
4,29.479325233355173,38.01960668784757,0.030085798352956772,0.05951860919594765,0.0,1.0,False,8,0.2713766321539879,
8,14.373303551576983,17.488399243641943,0.06542486324906349,0.0976896844804287,0.0,1.0,False,8,0.5565874241292477,
16,5.837293840739368,6.860357116716165,0.166878342628479,0.20296850055456161,0.0,1.0,False,8,1.3704980798065662,
32,1.9934305663608645,2.3019746550049605,0.4985278248786926,0.5364671349525452,0.0,1.0,False,8,4.013182166963816,
64,0.6038061078343563,0.6911912746804574,1.6455457024276257,1.725188821554184,0.0,1.0,False,8,13.249286312609911,
128,0.16190283863768995,0.18549883695705774,6.182906877249479,6.28356221690774,0.0,1.0,False,8,49.41235167533159,
256,0.04304576691816696,0.04572012615463906,23.00631023198366,24.612255465239286,0.0,1.0,False,8,185.84870412945747,
512,0.010731854168224053,0.011322006584586554,92.65047707408667,97.17777125909925,0.0,1.0,False,8,745.4443449005485,
