t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780610577.393,132.6,10,378.3,0.00
1780610577.494,133.4,74,9.8,100.37
1780610577.594,133.4,74,0.0,0.13
1780610577.695,133.4,74,0.0,0.13
1780610577.795,133.4,74,0.0,0.13
1780610577.895,135.3,74,10.0,0.13
1780610577.995,135.3,74,0.0,0.13
1780610578.095,142.4,74,10.0,2.64
1780610578.195,142.4,74,0.0,2.64
1780610578.296,142.4,74,0.0,2.64
1780610578.396,142.4,74,0.0,2.64
1780610578.496,142.4,74,10.0,2.64
1780610578.596,142.4,74,0.0,2.64
1780610578.696,142.4,74,0.0,2.64
1780610578.796,142.4,74,10.0,2.64
1780610578.897,142.4,74,0.0,2.64
1780610578.997,142.4,74,0.0,2.64
1780610579.097,142.4,74,10.0,2.64
1780610579.197,142.4,74,0.0,2.64
1780610579.297,142.4,74,0.0,2.64
1780610579.397,142.4,74,0.0,2.64
1780610579.498,142.4,74,0.0,2.64
1780610579.598,142.4,74,0.0,2.64
1780610579.698,142.4,74,0.0,2.64
1780610579.798,142.4,74,0.0,2.64
1780610579.898,142.4,74,0.0,2.64
1780610579.998,142.4,74,0.0,2.64
1780610580.098,142.4,74,0.0,2.64
1780610580.199,142.9,74,10.0,2.64
1780610580.299,142.9,74,10.0,2.64
1780610580.399,142.9,74,0.0,2.64
1780610580.499,142.9,74,10.0,2.64
1780610580.599,142.9,74,0.0,2.64
1780610580.701,145.4,74,19.6,2.64
1780610580.801,145.4,74,0.0,2.64
1780610580.901,145.4,74,0.0,2.64
1780610581.002,145.9,74,10.0,2.64
1780610581.102,145.9,74,20.0,2.64
1780610581.202,145.9,74,0.0,2.64
1780610581.302,145.9,74,0.0,2.64
1780610581.402,145.9,74,0.0,2.64
1780610581.502,145.9,74,0.0,2.64
1780610581.603,145.9,74,20.0,2.64
1780610581.703,145.9,74,10.0,2.64
1780610581.803,148.4,74,20.0,2.64
1780610581.903,148.4,74,0.0,2.64
1780610582.003,148.4,74,30.0,2.64
1780610582.103,148.4,74,0.0,2.64
1780610582.204,148.4,74,10.0,2.64
1780610582.304,148.4,74,0.0,2.64
1780610582.404,148.4,74,0.0,2.64
1780610582.504,152.5,74,39.9,2.64
1780610582.604,152.5,74,0.0,2.64
