t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780611073.208,130.3,11,0.0,0.00
1780611073.309,130.3,11,0.0,100.84
1780611073.409,130.3,11,0.0,0.12
1780611073.509,130.3,11,0.0,0.12
1780611073.609,130.3,11,0.0,0.12
1780611073.709,130.3,11,0.0,0.12
1780611073.809,130.3,11,0.0,0.12
1780611073.909,130.3,11,0.0,0.12
1780611074.009,130.3,11,0.0,0.12
1780611074.110,130.3,11,0.0,0.12
1780611074.210,130.3,11,0.0,0.12
1780611074.310,130.3,11,0.0,0.12
1780611074.410,130.3,11,0.0,0.12
1780611074.510,130.3,11,0.0,0.12
1780611074.610,130.3,11,0.0,0.12
1780611074.710,130.3,11,0.0,0.12
1780611074.810,130.3,11,0.0,0.12
1780611074.910,130.3,11,0.0,0.12
1780611075.011,130.3,11,0.0,0.12
1780611075.111,130.3,11,0.0,0.12
1780611075.211,130.3,11,0.0,0.12
1780611075.311,130.3,11,0.0,0.12
1780611075.411,130.3,11,0.0,0.12
1780611075.511,130.3,11,0.0,0.12
1780611075.611,130.3,11,10.0,0.12
1780611075.711,130.3,11,0.0,0.12
1780611075.811,130.3,11,0.0,0.12
1780611075.911,130.3,11,0.0,0.12
1780611076.012,130.3,11,0.0,0.12
1780611076.112,130.3,11,0.0,0.12
1780611076.212,130.3,11,0.0,0.12
1780611076.312,130.3,11,0.0,0.12
1780611076.412,130.3,11,0.0,0.12
1780611076.512,130.3,11,0.0,0.12
1780611076.612,130.3,11,0.0,0.12
1780611076.712,130.3,11,0.0,0.12
1780611076.812,130.3,11,0.0,0.14
1780611076.913,130.3,11,0.0,0.14
1780611077.013,130.3,11,0.0,0.14
1780611077.113,130.3,11,0.0,0.14
1780611077.213,130.3,11,0.0,0.14
1780611077.313,130.3,11,0.0,0.14
1780611077.413,130.3,11,0.0,0.14
1780611077.513,130.3,11,0.0,0.14
1780611077.613,130.3,11,0.0,0.14
1780611077.713,130.3,11,0.0,0.14
1780611077.814,130.3,11,0.0,0.14
1780611077.914,130.3,11,0.0,0.14
1780611078.014,130.3,11,0.0,0.14
1780611078.114,130.3,11,0.0,0.14
1780611078.214,130.3,11,0.0,0.14
1780611078.314,130.3,11,0.0,0.14
1780611078.414,130.3,11,0.0,0.14
1780611078.514,130.3,11,0.0,0.14
1780611078.614,130.3,11,0.0,0.14
1780611078.715,130.3,11,0.0,0.14
1780611078.815,130.3,11,0.0,0.14
1780611078.915,130.3,11,0.0,0.14
1780611079.015,130.3,11,0.0,0.14
1780611079.115,130.3,11,0.0,0.14
1780611079.215,130.3,11,0.0,0.14
1780611079.315,130.3,11,0.0,0.14
1780611079.415,130.3,11,0.0,0.14
1780611079.515,130.3,11,0.0,0.14
1780611079.616,130.3,11,0.0,0.14
1780611079.716,130.3,11,0.0,0.12
1780611079.816,130.3,11,0.0,0.12
1780611079.916,130.3,11,0.0,0.12
1780611080.016,130.3,11,0.0,0.12
1780611080.116,130.3,11,0.0,0.12
1780611080.216,130.3,11,0.0,0.12
1780611080.316,130.3,11,0.0,0.12
1780611080.417,130.3,11,0.0,0.12
1780611080.517,130.3,11,0.0,0.12
1780611080.617,130.3,11,0.0,0.12
1780611080.717,130.3,11,0.0,0.12
1780611080.817,130.3,11,0.0,0.12
1780611080.917,130.3,11,0.0,0.12
1780611081.017,130.3,11,0.0,0.12
1780611081.117,130.3,11,0.0,0.12
1780611081.217,130.3,11,0.0,0.12
1780611081.318,130.3,11,0.0,0.12
1780611081.418,130.3,11,0.0,0.12
1780611081.518,130.3,11,0.0,0.12
1780611081.618,130.3,11,0.0,0.12
1780611081.718,130.3,11,0.0,0.12
1780611081.818,130.3,11,0.0,0.12
1780611081.918,130.3,11,0.0,0.12
1780611082.018,130.3,11,0.0,0.12
1780611082.118,130.3,11,0.0,0.13
1780611082.219,130.3,11,0.0,0.13
1780611082.319,130.3,11,0.0,0.13
1780611082.419,130.3,11,0.0,0.13
1780611082.519,130.3,11,0.0,0.13
1780611082.619,130.3,11,0.0,0.13
1780611082.719,130.3,11,0.0,0.13
1780611082.819,130.3,11,0.0,0.13
1780611082.919,130.3,11,0.0,0.13
1780611083.019,130.3,11,0.0,0.13
1780611083.120,130.3,11,0.0,0.13
1780611083.220,130.3,11,0.0,0.13
1780611083.320,130.3,11,0.0,0.13
1780611083.420,130.3,11,0.0,0.13
1780611083.520,130.3,11,0.0,0.13
1780611083.620,130.3,11,0.0,0.13
1780611083.720,130.3,11,0.0,0.13
1780611083.820,130.3,11,0.0,0.13
1780611083.920,130.3,11,0.0,0.13
1780611084.021,130.3,11,0.0,0.13
1780611084.121,130.3,11,0.0,0.13
1780611084.221,130.3,11,0.0,0.13
1780611084.321,130.3,11,0.0,0.13
1780611084.421,130.3,11,0.0,0.13
1780611084.521,130.3,11,0.0,0.13
1780611084.621,130.3,11,0.0,0.13
1780611084.721,130.3,11,0.0,0.13
1780611084.821,130.3,11,0.0,0.13
1780611084.922,130.3,11,0.0,0.13
1780611085.022,130.3,11,0.0,0.13
1780611085.122,130.3,11,0.0,0.13
1780611085.222,130.3,11,0.0,0.13
1780611085.322,130.3,11,0.0,0.13
1780611085.422,130.3,11,0.0,0.13
1780611085.522,130.3,11,0.0,0.13
1780611085.622,130.3,11,0.0,0.13
1780611085.723,130.3,11,0.0,0.13
1780611085.823,130.3,11,0.0,0.13
1780611085.923,130.3,11,0.0,0.13
1780611086.023,130.3,11,0.0,0.13
1780611086.123,130.3,11,0.0,0.13
1780611086.223,130.3,11,0.0,0.13
1780611086.323,130.3,11,0.0,0.13
1780611086.423,130.3,11,0.0,0.13
1780611086.523,130.3,11,0.0,0.13
1780611086.624,130.3,11,0.0,0.13
1780611086.724,130.3,11,0.0,0.13
1780611086.824,130.3,11,0.0,0.13
1780611086.924,130.3,11,0.0,0.13
1780611087.024,130.3,11,0.0,0.13
1780611087.124,130.3,11,0.0,0.13
1780611087.224,130.3,11,0.0,0.13
1780611087.324,130.3,11,0.0,0.13
1780611087.424,130.3,11,0.0,0.13
