t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780611129.322,145.3,10,103.4,0.00
1780611129.517,166.5,74,77.3,270.85
1780611129.618,173.5,74,9.8,0.73
1780611129.718,173.5,74,0.0,0.73
1780611129.818,173.5,74,0.0,0.73
1780611129.918,173.5,74,0.0,0.73
1780611130.018,173.5,74,0.0,0.73
1780611130.118,173.5,74,0.0,0.73
1780611130.218,173.5,74,0.0,0.73
1780611130.319,173.5,74,0.0,0.73
1780611130.419,173.5,74,0.0,0.73
1780611130.519,173.5,74,0.0,0.73
1780611130.619,173.5,74,0.0,0.73
1780611130.719,173.5,74,0.0,0.73
1780611130.819,173.5,74,0.0,0.73
1780611130.919,173.5,74,0.0,0.73
1780611131.019,173.5,74,0.0,0.73
1780611131.120,173.5,74,0.0,0.73
1780611131.220,173.5,74,0.0,0.73
1780611131.320,173.5,74,0.0,0.73
1780611131.420,173.5,74,0.0,0.73
1780611131.520,173.5,74,0.0,0.73
1780611131.620,173.5,74,0.0,0.73
1780611131.720,173.5,74,0.0,0.73
1780611131.820,173.5,74,0.0,0.73
1780611131.921,173.5,74,0.0,0.73
1780611132.021,173.5,74,0.0,0.73
1780611132.121,173.5,74,0.0,0.73
1780611132.221,173.5,74,0.0,0.73
1780611132.321,173.5,74,0.0,0.73
1780611132.421,173.5,74,0.0,0.73
1780611132.521,173.5,74,0.0,0.73
1780611132.621,173.5,74,0.0,0.73
1780611132.722,173.5,74,0.0,0.73
1780611132.822,173.5,74,0.0,0.73
1780611132.922,173.5,74,0.0,0.73
1780611133.022,173.5,74,0.0,0.73
1780611133.122,173.5,74,0.0,0.73
1780611133.222,173.5,74,0.0,0.73
1780611133.322,173.5,74,0.0,0.73
1780611133.422,173.5,74,0.0,0.73
1780611133.522,173.5,74,0.0,0.73
1780611133.623,173.5,74,0.0,0.73
1780611133.723,173.5,74,0.0,0.73
1780611133.823,173.5,74,0.0,0.73
1780611133.923,173.5,74,0.0,0.73
1780611134.023,173.5,74,0.0,0.73
1780611134.123,173.5,74,0.0,0.73
1780611134.223,173.5,74,0.0,0.73
1780611134.323,173.5,74,0.0,0.73
1780611134.424,173.5,74,0.0,0.73
1780611134.524,173.5,74,0.0,0.73
1780611134.624,173.5,74,0.0,0.73
1780611134.724,173.5,74,0.0,0.73
1780611134.824,178.5,74,79.9,0.73
1780611134.924,178.5,74,0.0,0.73
1780611135.024,178.5,74,0.0,0.73
1780611135.125,178.5,74,0.0,0.73
1780611135.225,178.5,74,0.0,0.73
1780611135.325,178.5,74,0.0,0.73
1780611135.425,178.5,74,0.0,0.73
1780611135.525,178.5,74,0.0,0.73
1780611135.625,178.5,74,0.0,0.73
1780611135.725,178.5,74,0.0,0.73
1780611135.825,185.8,74,10.0,0.73
1780611135.925,185.8,74,0.0,0.48
1780611136.026,197.3,74,39.9,0.48
1780611136.126,197.3,74,0.0,0.48
1780611136.226,197.3,74,0.0,0.48
1780611136.328,202.8,74,39.4,0.48
1780611136.428,202.8,74,29.9,1.06
1780611136.528,202.8,74,0.0,1.06
1780611136.628,202.8,74,0.0,1.06
1780611136.728,202.8,74,0.0,1.06
1780611136.828,202.8,74,0.0,1.06
1780611136.928,202.8,74,0.0,1.06
1780611137.029,202.8,74,10.0,1.06
1780611137.129,202.8,74,19.9,5.43
1780611137.229,202.8,74,0.0,5.43
1780611137.329,202.8,74,0.0,5.43
1780611137.429,202.8,74,0.0,5.43
1780611137.529,202.8,74,0.0,5.43
1780611137.629,202.8,74,0.0,5.43
1780611137.730,202.8,74,0.0,5.43
1780611137.830,205.1,74,10.0,5.43
1780611137.930,205.1,74,0.0,5.43
1780611138.030,205.1,74,0.0,5.43
1780611138.130,205.1,74,0.0,5.43
1780611138.230,205.1,74,10.0,5.43
1780611138.330,207.1,74,30.0,5.43
1780611138.430,207.1,74,10.0,5.43
1780611138.531,207.3,74,10.0,5.43
1780611138.631,207.3,74,0.0,5.43
1780611138.731,207.3,74,0.0,5.43
1780611138.831,207.3,74,0.0,5.43
1780611138.931,207.3,74,0.0,5.43
1780611139.031,207.3,74,0.0,5.43
1780611139.131,207.3,74,0.0,5.43
1780611139.231,207.3,74,0.0,5.43
1780611139.332,207.3,74,0.0,5.43
1780611139.432,207.3,74,0.0,5.43
1780611139.532,207.3,74,0.0,5.43
1780611139.632,207.3,74,0.0,5.43
1780611139.732,207.3,74,0.0,5.43
1780611139.832,207.3,74,0.0,5.43
1780611139.932,207.3,74,0.0,5.43
1780611140.032,207.3,74,0.0,5.43
1780611140.133,207.3,74,0.0,5.43
1780611140.233,207.3,74,0.0,5.43
1780611140.333,207.3,74,0.0,5.43
1780611140.433,207.3,74,0.0,5.43
1780611140.533,207.3,74,0.0,5.43
1780611140.633,207.3,74,0.0,5.43
1780611140.733,207.3,74,0.0,5.43
1780611140.833,207.3,74,0.0,5.43
1780611140.934,207.3,74,0.0,5.43
1780611141.034,207.3,74,0.0,5.43
1780611141.134,207.3,74,0.0,5.43
1780611141.235,207.5,74,9.9,5.43
1780611141.335,207.6,74,0.0,5.43
1780611141.435,207.9,74,39.9,5.43
1780611141.535,207.9,74,0.0,5.43
1780611141.635,207.9,74,0.0,5.43
1780611141.736,208.3,74,0.0,5.43
1780611141.836,208.3,74,0.0,5.43
1780611141.936,208.3,74,0.0,5.43
1780611142.036,208.3,74,0.0,5.43
1780611142.136,208.3,74,0.0,5.43
1780611142.236,185.9,74,69.9,16.72
1780611142.337,185.9,74,0.0,16.72
1780611142.437,185.9,74,0.0,16.72
1780611142.537,185.9,74,0.0,16.72
1780611142.637,185.9,74,0.0,16.72
1780611142.737,185.9,74,0.0,16.72
1780611142.837,185.9,74,0.0,16.72
1780611142.937,185.9,74,0.0,16.72
1780611143.038,185.9,74,0.0,16.72
1780611143.138,185.9,74,0.0,16.72
1780611143.238,185.9,74,0.0,16.72
1780611143.338,185.9,74,0.0,16.72
1780611143.438,185.9,74,10.0,16.72
1780611143.538,185.9,74,0.0,2.00
1780611143.638,185.9,74,0.0,2.00
1780611143.738,185.9,74,0.0,2.00
1780611143.838,185.9,74,0.0,2.00
1780611143.939,210.0,74,29.8,2.00
1780611144.039,212.0,74,59.9,11.23
1780611144.140,212.0,74,0.0,11.23
1780611144.240,212.0,74,0.0,11.23
1780611144.340,214.0,74,10.0,11.23
1780611144.440,214.0,74,0.0,11.23
1780611144.540,214.0,74,0.0,11.23
1780611144.640,214.0,74,0.0,11.23
1780611144.740,214.0,74,0.0,11.23
1780611144.840,214.0,74,0.0,11.23
1780611144.940,214.0,74,0.0,11.23
1780611145.041,214.0,74,0.0,11.23
1780611145.141,214.0,74,0.0,11.23
1780611145.241,214.0,74,0.0,11.23
1780611145.342,214.0,74,9.9,11.23
1780611145.442,214.1,74,30.0,11.23
1780611145.542,214.1,74,0.0,11.23
1780611145.642,214.1,74,0.0,11.23
1780611145.742,214.1,74,0.0,11.23
1780611145.842,214.1,74,0.0,11.23
